asset,market_id,market_slug,token_id,lag_hours,signal_time_ns,entry_time_ns,exit_time_ns,side,notional_usd,probability_change,gross_return,net_return,pnl_usd
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777244400000000000,1777248000000000000,1777262400000000000,-1,10.0,0.0,0.003312754103297677,-0.000687245896702323,-0.00687245896702323
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777248000000000000,1777251600000000000,1777266000000000000,-1,10.0,0.019999999999999907,0.029829492067601993,0.025829492067601992,0.25829492067601995
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777251600000000000,1777255200000000000,1777269600000000000,-1,10.0,0.0,0.02974717410206673,0.02574717410206673,0.25747174102066733
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777255200000000000,1777258800000000000,1777273200000000000,-1,10.0,0.010000000000000009,0.03292064221141189,0.028920642211411888,0.2892064221141189
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777258800000000000,1777262400000000000,1777276800000000000,-1,10.0,0.0,0.026506185895821877,0.022506185895821876,0.22506185895821876
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777262400000000000,1777266000000000000,1777280400000000000,-1,10.0,0.0,0.0004261400321970976,-0.0035738599678029025,-0.035738599678029025
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777266000000000000,1777269600000000000,1777284000000000000,-1,10.0,0.010000000000000009,0.00037052994398967254,-0.0036294700560103275,-0.036294700560103275
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777269600000000000,1777273200000000000,1777287600000000000,-1,10.0,-0.010000000000000009,-0.0018911835441124403,-0.00589118354411244,-0.058911835441124404
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777273200000000000,1777276800000000000,1777291200000000000,-1,10.0,0.0,0.002401193268036894,-0.001598806731963106,-0.01598806731963106
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777276800000000000,1777280400000000000,1777294800000000000,-1,10.0,0.0,0.00426752332927105,0.0002675233292710501,0.0026752332927105008
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777280400000000000,1777284000000000000,1777298400000000000,-1,10.0,0.010000000000000009,0.002323135672847254,-0.001676864327152746,-0.01676864327152746
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777284000000000000,1777287600000000000,1777302000000000000,-1,10.0,0.0,0.019531199496636176,0.015531199496636176,0.15531199496636175
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777287600000000000,1777291200000000000,1777305600000000000,-1,10.0,0.0,0.015552415399440966,0.011552415399440966,0.11552415399440966
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777291200000000000,1777294800000000000,1777309200000000000,-1,10.0,0.0,0.010898334111785868,0.006898334111785868,0.06898334111785867
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777294800000000000,1777298400000000000,1777312800000000000,-1,10.0,0.0,0.011232314504806107,0.007232314504806107,0.07232314504806106
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777298400000000000,1777302000000000000,1777316400000000000,-1,10.0,0.0,-0.006184425094612367,-0.010184425094612367,-0.10184425094612368
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777302000000000000,1777305600000000000,1777320000000000000,-1,10.0,0.0,-0.005961055607255128,-0.009961055607255128,-0.09961055607255129
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777305600000000000,1777309200000000000,1777323600000000000,-1,10.0,0.010000000000000009,-0.001770816936880193,-0.005770816936880193,-0.05770816936880193
ETH,1299187,megaeth-market-cap-fdv-1pt5b-one-day-after-launch-371-844-879-681,59361386662140736273790755583050126642583489495616165418126619457111736694733,4,1777305600000000000,1777309200000000000,1777323600000000000,-1,10.0,0.010000000000000009,-0.0005596655998041378,-0.004559665599804138,-0.04559665599804138
BTC,1343220,will-bitcoin-dip-to-10000-by-december-31-2026-888-644-567-258-946-853,42439528758178981890895605039938161151582654744978607695897321288347422769852,24,1776996000000000000,1776999600000000000,1777086000000000000,-1,10.0,0.0004999999999999935,0.0007561310224041273,-0.0032438689775958728,-0.03243868977595873
BTC,1343220,will-bitcoin-dip-to-10000-by-december-31-2026-888-644-567-258-946-853,42439528758178981890895605039938161151582654744978607695897321288347422769852,24,1776999600000000000,1777003200000000000,1777089600000000000,1,10.0,0.0,-0.0006559804300244609,-0.004655980430024461,-0.04655980430024461
BTC,1343220,will-bitcoin-dip-to-10000-by-december-31-2026-888-644-567-258-946-853,42439528758178981890895605039938161151582654744978607695897321288347422769852,24,1777003200000000000,1777006800000000000,1777093200000000000,1,10.0,0.0,-0.005685442138054553,-0.009685442138054553,-0.09685442138054554
BTC,1343220,will-bitcoin-dip-to-10000-by-december-31-2026-888-644-567-258-946-853,42439528758178981890895605039938161151582654744978607695897321288347422769852,24,1777006800000000000,1777010400000000000,1777096800000000000,1,10.0,0.0,-0.0036781195465983574,-0.0076781195465983575,-0.07678119546598358
BTC,1343220,will-bitcoin-dip-to-10000-by-december-31-2026-888-644-567-258-946-853,42439528758178981890895605039938161151582654744978607695897321288347422769852,24,1777010400000000000,1777014000000000000,1777100400000000000,-1,10.0,-0.0004999999999999935,0.0018470054582031548,-0.0021529945417968453,-0.021529945417968453
BTC,1343220,will-bitcoin-dip-to-10000-by-december-31-2026-888-644-567-258-946-853,42439528758178981890895605039938161151582654744978607695897321288347422769852,24,1777082400000000000,1777086000000000000,1777172400000000000,1,10.0,-0.0005000000000000004,-0.003589898797706992,-0.007589898797706992,-0.07589898797706993
BTC,1343220,will-bitcoin-dip-to-10000-by-december-31-2026-888-644-567-258-946-853,42439528758178981890895605039938161151582654744978607695897321288347422769852,24,1777086000000000000,1777089600000000000,1777176000000000000,1,10.0,0.0,0.002000024478526763,-0.001999975521473237,-0.019999755214732372
