asset,market_id,market_slug,token_id,lag_hours,signal_time_ns,entry_time_ns,exit_time_ns,side,notional_usd,probability_change,gross_return,net_return,pnl_usd
BTC,701495,will-bitcoin-reach-110000-by-december-31-2026-658-339-969,74843373582432484858627201602003648342208168490128239235522790524493414154441,1,1775462400000000000,1775466000000000000,1775469600000000000,-1,10.0,0.0050000000000000044,-0.0006149609912804443,-0.004614960991280444,-0.046149609912804444
BTC,701495,will-bitcoin-reach-110000-by-december-31-2026-658-339-969,74843373582432484858627201602003648342208168490128239235522790524493414154441,1,1775484000000000000,1775487600000000000,1775491200000000000,-1,10.0,0.0050000000000000044,0.002425793070546911,-0.001574206929453089,-0.01574206929453089
BTC,701495,will-bitcoin-reach-110000-by-december-31-2026-658-339-969,74843373582432484858627201602003648342208168490128239235522790524493414154441,1,1775498400000000000,1775502000000000000,1775505600000000000,1,10.0,-0.010000000000000009,0.001240042770577876,-0.002759957229422124,-0.02759957229422124
BTC,701495,will-bitcoin-reach-110000-by-december-31-2026-658-339-969,74843373582432484858627201602003648342208168490128239235522790524493414154441,1,1775505600000000000,1775509200000000000,1775512800000000000,-1,10.0,0.010000000000000009,0.00998475073516314,0.005984750735163139,0.05984750735163139
BTC,701495,will-bitcoin-reach-110000-by-december-31-2026-658-339-969,74843373582432484858627201602003648342208168490128239235522790524493414154441,1,1775566800000000000,1775570400000000000,1775574000000000000,-1,10.0,0.010000000000000009,-0.00453312443413334,-0.00853312443413334,-0.0853312443413334
BTC,701495,will-bitcoin-reach-110000-by-december-31-2026-658-339-969,74843373582432484858627201602003648342208168490128239235522790524493414154441,1,1775581200000000000,1775584800000000000,1775588400000000000,1,10.0,-0.010000000000000009,0.008310037633033174,0.004310037633033174,0.04310037633033174
BTC,701495,will-bitcoin-reach-110000-by-december-31-2026-658-339-969,74843373582432484858627201602003648342208168490128239235522790524493414154441,1,1775602800000000000,1775606400000000000,1775610000000000000,-1,10.0,0.015000000000000013,0.0032522574546239857,-0.0007477425453760143,-0.007477425453760143
BTC,701495,will-bitcoin-reach-110000-by-december-31-2026-658-339-969,74843373582432484858627201602003648342208168490128239235522790524493414154441,1,1775613600000000000,1775617200000000000,1775620800000000000,1,10.0,-0.020000000000000018,0.003910789832535455,-8.921016746454499e-05,-0.0008921016746454499
BTC,701495,will-bitcoin-reach-110000-by-december-31-2026-658-339-969,74843373582432484858627201602003648342208168490128239235522790524493414154441,1,1775631600000000000,1775635200000000000,1775638800000000000,-1,10.0,0.010000000000000009,0.0016870473537604624,-0.0023129526462395376,-0.023129526462395376
BTC,701495,will-bitcoin-reach-110000-by-december-31-2026-658-339-969,74843373582432484858627201602003648342208168490128239235522790524493414154441,1,1775635200000000000,1775638800000000000,1775642400000000000,-1,10.0,0.010000000000000009,0.0028165901610892607,-0.0011834098389107393,-0.011834098389107393
