rank,asset,symbol,market_id,market_slug,token_id,question,horizon_hours,segment_type,segment_value,combined_regime,simplicity,sample_count,train_samples,test_samples,learned_direction,train_direction_match_rate,test_direction_match_rate,train_average_forward_return,test_average_forward_return,train_win_rate,test_win_rate,full_correlation,train_correlation,test_correlation,train_test_direction_match,stability,baseline_test_average_forward_return,test_improvement_over_baseline,score,grade,filter_reason
22,BTC,BTCUSDT,701504,will-bitcoin-dip-to-25000-by-december-31-2026-948-243-253-666-115-787-981-282-573-719-186-417-762-754-486-851-278-145,58908160299895538838177673280060816284346493901538403975218911918392404378292,"Will Bitcoin dip to $25,000 by December 31, 2026?",1,funding_intensity,low,,1.0,515,309,206,-1,0.5,0.28205128205128205,2.6837429737105375e-05,-0.0002653558888959979,0.06472491909385113,0.05339805825242718,0.03670490978942832,0.00014955491945746157,0.09250068469777717,False,0.3000299109838915,-0.000273126590419434,7.770701523436118e-06,2.501584051288579,WEAK,train_test_direction_mismatch
23,BTC,BTCUSDT,701504,will-bitcoin-dip-to-25000-by-december-31-2026-948-243-253-666-115-787-981-282-573-719-186-417-762-754-486-851-278-145,58908160299895538838177673280060816284346493901538403975218911918392404378292,"Will Bitcoin dip to $25,000 by December 31, 2026?",1,funding_direction,negative,,1.0,509,305,204,-1,0.47368421052631576,0.28205128205128205,2.9702416869754473e-05,-0.00026795741721850766,0.05901639344262295,0.05392156862745098,0.034012182531363476,-0.005712689871062937,0.09261606513453284,False,0.0011425379742125874,-0.000273126590419434,5.169173200926329e-06,2.2021763726143977,WEAK,train_test_direction_mismatch
24,BTC,BTCUSDT,948958,bitcoin-all-time-high-by-december-31-2026,102959890468928530190954086704155483076852880798676895426376704430618826404382,"Bitcoin all time high by December 31, 2026?",1,funding_direction,negative,,1.0,324,194,130,1,0.5471698113207547,0.25,5.256021450344441e-05,-9.91443407049012e-05,0.14948453608247422,0.015384615384615385,0.011764931947141927,0.039770383606264004,-0.14073976205384792,False,0.007954076721252801,-0.00010277140155070269,3.627060845801485e-06,2.208679488890413,WEAK,train_test_direction_mismatch
25,BTC,BTCUSDT,665258,will-china-unban-bitcoin-by-2027,91810646921497227084241579668235102205462718984593674693010693975258849328842,Will China unban Bitcoin by 2027?,24,funding_intensity,normal,,1.0,25,15,10,1,0.6666666666666666,0.0,0.00012565823731846797,-1.3937072936876611e-05,0.13333333333333333,0.0,-0.17590807090907862,-0.223338411138584,0.016541147444754274,False,0.003308229488950855,-1.5602608877679067e-05,1.665535940802456e-06,1.4536413366771113,WEAK,train_test_direction_mismatch
26,BTC,BTCUSDT,948958,bitcoin-all-time-high-by-december-31-2026,102959890468928530190954086704155483076852880798676895426376704430618826404382,"Bitcoin all time high by December 31, 2026?",1,funding_intensity,low,,1.0,314,188,126,1,0.5636363636363636,0.25,5.974251156664665e-05,-0.0001022917800923584,0.16489361702127658,0.015873015873015872,0.009961781336765264,0.03617781596782879,-0.14748718901981686,False,0.0072355631935657585,-0.00010277140155070269,4.796214583442919e-07,2.2073314874852348,WEAK,train_test_direction_mismatch
27,ETH,ETHUSDT,1823795,will-ethereum-reach-2800-in-april-2026,103455081209713767851750094101142549597038869631663604903086082563273644697340,"Will Ethereum reach $2,800 in April?",4,funding_direction,negative,,1.0,532,319,213,1,0.5256410256410257,0.5074626865671642,0.0001533265961293564,-0.0001779260779881235,0.38557993730407525,0.3192488262910798,0.005103781648230708,0.013138403550563732,-0.06348783148545936,False,0.0026276807101127467,-0.0001779260779881235,0.0,2.202627680710113,WEAK,train_test_direction_mismatch
28,ETH,ETHUSDT,1823795,will-ethereum-reach-2800-in-april-2026,103455081209713767851750094101142549597038869631663604903086082563273644697340,"Will Ethereum reach $2,800 in April?",4,funding_intensity,low,,1.0,532,319,213,1,0.5256410256410257,0.5074626865671642,0.0001533265961293564,-0.0001779260779881235,0.38557993730407525,0.3192488262910798,0.005103781648230708,0.013138403550563732,-0.06348783148545936,False,0.0026276807101127467,-0.0001779260779881235,0.0,2.202627680710113,WEAK,train_test_direction_mismatch
29,ETH,ETHUSDT,1823795,will-ethereum-reach-2800-in-april-2026,103455081209713767851750094101142549597038869631663604903086082563273644697340,"Will Ethereum reach $2,800 in April?",24,funding_direction,negative,,1.0,512,307,205,-1,0.43946188340807174,0.427536231884058,0.00030786736946513164,-0.0004679765534433508,0.31921824104234525,0.28780487804878047,0.02491554082127649,0.01699357060801155,0.0794918489462412,False,0.3033987141216023,-0.0004679765534433508,0.0,2.5033987141216025,WEAK,train_test_direction_mismatch
30,ETH,ETHUSDT,1823795,will-ethereum-reach-2800-in-april-2026,103455081209713767851750094101142549597038869631663604903086082563273644697340,"Will Ethereum reach $2,800 in April?",24,funding_intensity,low,,1.0,512,307,205,-1,0.43946188340807174,0.427536231884058,0.00030786736946513164,-0.0004679765534433508,0.31921824104234525,0.28780487804878047,0.02491554082127649,0.01699357060801155,0.0794918489462412,False,0.3033987141216023,-0.0004679765534433508,0.0,2.5033987141216025,WEAK,train_test_direction_mismatch
31,BTC,BTCUSDT,1823779,will-bitcoin-dip-to-65k-in-april-2026-355-765,91891168804884935930999247357727984305771756132991676079520973027739343180431,"Will Bitcoin dip to $65,000 in April?",1,funding_direction,negative,,1.0,494,296,198,1,0.5255102040816326,0.496,7.524556088990478e-05,-3.266432424131739e-05,0.34797297297297297,0.31313131313131315,-0.05846422799991477,-0.05747818678326251,-0.08734904403788377,False,0.3114956373566525,-3.266432424131739e-05,0.0,2.511495637356653,WEAK,train_test_direction_mismatch
32,BTC,BTCUSDT,1823779,will-bitcoin-dip-to-65k-in-april-2026-355-765,91891168804884935930999247357727984305771756132991676079520973027739343180431,"Will Bitcoin dip to $65,000 in April?",1,funding_intensity,low,,1.0,494,296,198,1,0.5255102040816326,0.496,7.524556088990478e-05,-3.266432424131739e-05,0.34797297297297297,0.31313131313131315,-0.05846422799991477,-0.05747818678326251,-0.08734904403788377,False,0.3114956373566525,-3.266432424131739e-05,0.0,2.511495637356653,WEAK,train_test_direction_mismatch
33,BTC,BTCUSDT,1823779,will-bitcoin-dip-to-65k-in-april-2026-355-765,91891168804884935930999247357727984305771756132991676079520973027739343180431,"Will Bitcoin dip to $65,000 in April?",4,funding_direction,negative,,1.0,491,294,197,1,0.5255102040816326,0.46774193548387094,4.823243181157997e-05,-3.626001429818686e-05,0.35034013605442177,0.29441624365482233,-0.006347602635912528,-0.009198299497953916,0.013002218408692598,False,0.0018396598995907834,-3.626001429818686e-05,0.0,2.201839659899591,WEAK,train_test_direction_mismatch
34,BTC,BTCUSDT,1823779,will-bitcoin-dip-to-65k-in-april-2026-355-765,91891168804884935930999247357727984305771756132991676079520973027739343180431,"Will Bitcoin dip to $65,000 in April?",4,funding_intensity,low,,1.0,491,294,197,1,0.5255102040816326,0.46774193548387094,4.823243181157997e-05,-3.626001429818686e-05,0.35034013605442177,0.29441624365482233,-0.006347602635912528,-0.009198299497953916,0.013002218408692598,False,0.0018396598995907834,-3.626001429818686e-05,0.0,2.201839659899591,WEAK,train_test_direction_mismatch
35,BTC,BTCUSDT,1823779,will-bitcoin-dip-to-65k-in-april-2026-355-765,91891168804884935930999247357727984305771756132991676079520973027739343180431,"Will Bitcoin dip to $65,000 in April?",24,funding_direction,negative,,1.0,471,282,189,1,0.4717948717948718,0.4247787610619469,3.310525574341552e-05,-0.0002507916534386364,0.3262411347517731,0.25396825396825395,-0.03046608682806113,-0.009984130646173317,-0.14101481790443432,False,0.3019968261292347,-0.0002507916534386364,0.0,2.501996826129235,WEAK,train_test_direction_mismatch
36,BTC,BTCUSDT,1823779,will-bitcoin-dip-to-65k-in-april-2026-355-765,91891168804884935930999247357727984305771756132991676079520973027739343180431,"Will Bitcoin dip to $65,000 in April?",24,funding_intensity,low,,1.0,471,282,189,1,0.4717948717948718,0.4247787610619469,3.310525574341552e-05,-0.0002507916534386364,0.3262411347517731,0.25396825396825395,-0.03046608682806113,-0.009984130646173317,-0.14101481790443432,False,0.3019968261292347,-0.0002507916534386364,0.0,2.501996826129235,WEAK,train_test_direction_mismatch
37,BTC,BTCUSDT,1823771,will-bitcoin-reach-105k-in-april-2026,5855998775638456008143009293415543579001929689452953587667154608243793082021,"Will Bitcoin reach $105,000 in April?",1,funding_direction,negative,,1.0,456,273,183,-1,0.42857142857142855,0.3333333333333333,2.2638010381254483e-05,-6.983449328810182e-05,0.04395604395604396,0.0273224043715847,0.03501335215700262,0.02792121634248517,0.048003126394172264,False,0.30558424326849704,-6.983449328810182e-05,0.0,2.505584243268497,WEAK,train_test_direction_mismatch
