rank,asset,market_id,market_slug,token_id,horizon_hours,feature_name,segment_type,segment_value,final_grade,retained_after_dedup,rejection_reasons,sample_count,test_samples,unique_flow_hours,active_wallet_coverage,non_zero_net_flow_coverage,test_improvement_over_baseline,net_test_improvement_after_cost,test_win_rate,stability
4539,BTC,948957,bitcoin-all-time-high-by-september-30-2026,50388900663189748675936681554126016850520413670342348778716337126803310768728,4,flow_momentum_4h,flow_direction,sell_dominant,REJECTED,False,duplicate_segment_competition;improvement_below_cost_buffer;insufficient_unique_flow_hours;weak_or_negative_test_improvement;weak_win_rate,127,51,5,1.0,1.0,-0.0005429403861346126,-0.004542940386134613,0.49019607843137253,0.8115480852853032
4540,BTC,2054828,will-bitcoin-reach-82500-in-april,94423609542225753670941582315634376847502597669978386106469977359775855278346,24,buy_volume_usdc,copy_flow_bucket,absent,REJECTED,False,duplicate_segment_competition;improvement_below_cost_buffer;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,135,54,61,1.0,1.0,-0.0005436186947610567,-0.004543618694761057,0.46296296296296297,0.021920576754685308
4541,ETH,1823795,will-ethereum-reach-2800-in-april-2026,103455081209713767851750094101142549597038869631663604903086082563273644697340,24,large_trade_count,flow_direction,sell_dominant,REJECTED,False,duplicate_segment_competition;improvement_below_cost_buffer;insufficient_unique_flow_hours;low_sample_count;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,39,16,5,1.0,1.0,-0.0005452028918733873,-0.0045452028918733876,0.5,0.0
4542,ETH,1823795,will-ethereum-reach-2800-in-april-2026,103455081209713767851750094101142549597038869631663604903086082563273644697340,24,whale_flow_score,flow_direction,sell_dominant,REJECTED,False,duplicate_segment_competition;improvement_below_cost_buffer;insufficient_unique_flow_hours;low_sample_count;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,39,16,5,1.0,1.0,-0.0005452028918733873,-0.0045452028918733876,0.5,0.0
4543,BTC,1823776,will-bitcoin-reach-80k-in-april-2026-794,22893138393795740138249503228269517733051888602506683062209713465144747482167,4,large_trade_count,all,all,REJECTED,True,copy_flow_too_thin;improvement_below_cost_buffer;insufficient_unique_flow_hours;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,108,44,26,1.0,1.0,-0.0005470002951395957,-0.004547000295139596,0.4090909090909091,0.30828412487657086
4544,BTC,1823776,will-bitcoin-reach-80k-in-april-2026-794,22893138393795740138249503228269517733051888602506683062209713465144747482167,4,large_trade_count,active_wallet_bucket,high,REJECTED,False,copy_flow_too_thin;duplicate_segment_competition;improvement_below_cost_buffer;insufficient_unique_flow_hours;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,108,44,26,1.0,1.0,-0.0005470002951395957,-0.004547000295139596,0.4090909090909091,0.30828412487657086
4545,BTC,1823776,will-bitcoin-reach-80k-in-april-2026-794,22893138393795740138249503228269517733051888602506683062209713465144747482167,4,large_trade_count,whale_flow_bucket,normal,REJECTED,False,copy_flow_too_thin;duplicate_segment_competition;improvement_below_cost_buffer;insufficient_unique_flow_hours;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,108,44,26,1.0,1.0,-0.0005470002951395957,-0.004547000295139596,0.4090909090909091,0.30828412487657086
4546,BTC,948957,bitcoin-all-time-high-by-september-30-2026,50388900663189748675936681554126016850520413670342348778716337126803310768728,1,large_trade_count,all,all,REJECTED,True,improvement_below_cost_buffer;insufficient_unique_flow_hours;low_sample_count;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,73,30,4,1.0,1.0,-0.000548483952367748,-0.004548483952367748,0.4666666666666667,0.0
4547,BTC,948957,bitcoin-all-time-high-by-september-30-2026,50388900663189748675936681554126016850520413670342348778716337126803310768728,1,large_trade_count,active_wallet_bucket,high,REJECTED,False,duplicate_segment_competition;improvement_below_cost_buffer;insufficient_unique_flow_hours;low_sample_count;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,73,30,4,1.0,1.0,-0.000548483952367748,-0.004548483952367748,0.4666666666666667,0.0
4548,BTC,948957,bitcoin-all-time-high-by-september-30-2026,50388900663189748675936681554126016850520413670342348778716337126803310768728,1,large_trade_count,whale_flow_bucket,normal,REJECTED,False,duplicate_segment_competition;improvement_below_cost_buffer;insufficient_unique_flow_hours;low_sample_count;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,73,30,4,1.0,1.0,-0.000548483952367748,-0.004548483952367748,0.4666666666666667,0.0
4549,BTC,1343220,will-bitcoin-dip-to-10000-by-december-31-2026-888-644-567-258-946-853,42439528758178981890895605039938161151582654744978607695897321288347422769852,4,flow_momentum_24h,flow_direction,sell_dominant,REJECTED,False,duplicate_segment_competition;improvement_below_cost_buffer;insufficient_unique_flow_hours;low_sample_count;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,74,30,10,1.0,1.0,-0.0005492732786246165,-0.004549273278624617,0.5333333333333333,0.0
4550,BTC,1823776,will-bitcoin-reach-80k-in-april-2026-794,22893138393795740138249503228269517733051888602506683062209713465144747482167,4,net_flow_usdc,all,all,REJECTED,True,copy_flow_too_thin;improvement_below_cost_buffer;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,647,259,102,1.0,1.0,-0.00054978688072639,-0.00454978688072639,0.4555984555984556,0.008102633760754608
4551,BTC,1823776,will-bitcoin-reach-80k-in-april-2026-794,22893138393795740138249503228269517733051888602506683062209713465144747482167,4,net_flow_usdc,active_wallet_bucket,high,REJECTED,False,copy_flow_too_thin;duplicate_segment_competition;improvement_below_cost_buffer;unstable_train_test_behavior;weak_or_negative_test_improvement;weak_win_rate,647,259,102,1.0,1.0,-0.00054978688072639,-0.00454978688072639,0.4555984555984556,0.008102633760754608
